service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
SU_merged_110500489,20161106,20161217,0,0,0,0,0,0,1
SU_merged_110500484,20160814,20161105,0,0,0,0,0,0,1
WK_merged_110500487,20161106,20161217,1,1,1,1,1,0,0
WK_merged_110500482,20160814,20161105,1,1,1,1,1,0,0
MT_merged_110500480,20160814,20161105,1,1,1,1,0,0,0
SA_merged_110500488,20161106,20161217,0,0,0,0,0,1,0
FR_merged_110500481,20160814,20161105,0,0,0,0,1,0,0
MT_merged_110500485,20161106,20161217,1,1,1,1,0,0,0
FR_merged_110500486,20161106,20161217,0,0,0,0,1,0,0
SA_merged_110500483,20160814,20161105,0,0,0,0,0,1,0
