block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153387
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153386
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153385
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153384
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153383
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153382
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153381
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153380
a_8 11,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153389
a_8  2,8,0,Wagon Rd PnR,925459,SA_merged_110500483,110153388
a_76 28,12,1,Englewood Stn,924913,WK_merged_110500482,110142145
b_51  1,51,1,Englewood Stn,953592,WK_merged_110500487,110492537
a_12  7,12,1,Englewood Stn,924914,WK_merged_110500482,110142144
a_12  6,12,1,Englewood Stn,924914,WK_merged_110500482,110142149
a_12 14,12,1,Englewood Stn,924914,WK_merged_110500482,110142148
a_51  8,51,0,Broomfield City Hall,927345,WK_merged_110500482,110164507
a_51  9,51,0,US36 & Sheridan,927344,WK_merged_110500482,110164506
a_51  2,51,0,US36 & Sheridan,927344,WK_merged_110500482,110164505
a_51  6,51,0,Broomfield City Hall,927345,WK_merged_110500482,110164504
a_51 11,51,0,Broomfield City Hall,927345,WK_merged_110500482,110164503
a_51  4,51,0,Broomfield City Hall,927343,WK_merged_110500482,110164502
a_51  8,51,0,Broomfield City Hall,927345,WK_merged_110500482,110164501
a_51  5,51,0,Broomfield City Hall,927345,WK_merged_110500482,110164500
b_105  2,105,1,Ulster Tufts via Havana,953090,SU_merged_110500489,110481970
b_105  2,105,1,Ulster Tufts via Havana,953090,SU_merged_110500489,110481971
b_105  5,105,1,Ulster Tufts via Havana,953090,SU_merged_110500489,110481972
b_105  1,105,1,Ulster Tufts via Havana,953090,SU_merged_110500489,110481973
a_STMP  6,STMP,1,Euclid/18th,927026,WK_merged_110500482,110163739
a_209  1,STMP,1,Euclid/18th,927026,WK_merged_110500482,110163738
a_51  1,51,0,Broomfield City Hall,927345,WK_merged_110500482,110164509
a_51 11,51,0,US36 & Sheridan,927344,WK_merged_110500482,110164508
a_65  1,65,0,Central Park 65 via Monaco,925403,SU_merged_110500484,110152476
a_65  3,65,0,Central Park 65 via Monaco,925403,SU_merged_110500484,110152477
a_65  2,65,1,Southmoor via Monaco,925408,SA_merged_110500483,110152474
a_65  3,65,1,Southmoor via Monaco,925408,SA_merged_110500483,110152475
a_65  1,65,1,Southmoor via Monaco,925408,SA_merged_110500483,110152472
a_65  2,65,1,Southmoor via Monaco,925408,SA_merged_110500483,110152473
a_65  3,65,1,Southmoor via Monaco,925408,SA_merged_110500483,110152470
a_65  1,65,1,Southmoor via Monaco,925408,SA_merged_110500483,110152471
a_65  1,65,0,Central Park 65 via Monaco,925403,SU_merged_110500484,110152478
a_65  1,65,0,Central Park 65 via Monaco,925403,SU_merged_110500484,110152479
a_103 74,103W,1,W-Line Jeffco,924862,MT_merged_110500480,110141025
a_103 73,103W,1,W-Line Jeffco,924862,MT_merged_110500480,110141024
a_103 72,103W,1,W-Line Jeffco,924862,MT_merged_110500480,110141027
b_CV 69,CX,0,Denver Express,953866,WK_merged_110500487,110496579
a_103 77,103W,1,W-Line Jeffco,924862,MT_merged_110500480,110141021
a_103 72,103W,1,W-Line Jeffco,924862,MT_merged_110500480,110141020
b_73  2,73,0,Central Park 73 via Quebec,953662,SA_merged_110500488,110493524
b_FF 34,FF2,0,Union Station Express,953927,WK_merged_110500487,110497199
b_FF 78,FF4,0,Civic Center,953926,WK_merged_110500487,110497198
b_FF  5,FF1,0,Union Station All-Station,953929,WK_merged_110500487,110497191
b_FF  7,FF1,0,Union Station All-Station,953929,WK_merged_110500487,110497190
b_FF 49,FF6,0,Union Station/Central-55th,953930,WK_merged_110500487,110497193
b_FF  1,FF1,0,Union Station All-Station,953929,WK_merged_110500487,110497192
b_FF 47,FF6,0,Union Station/Central-55th,953930,WK_merged_110500487,110497195
b_FF 48,FF6,0,Union Station/Central-55th,953918,WK_merged_110500487,110497194
b_FF  3,FF4,0,Civic Center,953926,WK_merged_110500487,110497197
b_FF 82,FF4,0,Civic Center,953926,WK_merged_110500487,110497196
a_8  2,8,1,Downtown via Broadway,925461,SA_merged_110500483,110153400
a_8 11,8,1,Downtown via Broadway,925461,SA_merged_110500483,110153401
a_8 11,8,1,Downtown via Broadway,925461,SA_merged_110500483,110153402
a_8  2,8,1,Downtown via Broadway,925461,SA_merged_110500483,110153403
a_8  2,8,0,Wagon Rd PnR,925459,SU_merged_110500484,110153404
a_8  1,8,0,Wagon Rd PnR,925459,SU_merged_110500484,110153405
a_8  2,8,0,Wagon Rd PnR,925459,SU_merged_110500484,110153406
a_8  1,8,0,Wagon Rd PnR,925459,SU_merged_110500484,110153407
a_8  2,8,0,Wagon Rd PnR,925459,SU_merged_110500484,110153408
a_8  1,8,0,Wagon Rd PnR,925459,SU_merged_110500484,110153409
b_FF 65,FF4,0,Civic Center,953931,WK_merged_110500487,110497105
b_JUMP  8,JUMP,1,Dtwn Boulder,954040,SU_merged_110500489,110498297
a_103 76,103W,1,W-Line Jeffco,924862,MT_merged_110500480,110141022
b_43  3,43,1,Auraria Downtown,953537,SA_merged_110500488,110491164
a_A  1,A,0,Denver Airport,925508,SU_merged_110500484,110154830
a_A  7,A,0,Denver Airport,925508,SU_merged_110500484,110154831
a_A  6,A,0,Denver Airport,925508,SU_merged_110500484,110154832
a_A  5,A,0,Denver Airport,925508,SU_merged_110500484,110154833
a_A  3,A,0,Denver Airport,925508,SU_merged_110500484,110154834
a_A  2,A,0,Denver Airport,925508,SU_merged_110500484,110154835
a_A  1,A,0,Denver Airport,925508,SU_merged_110500484,110154836
b_FF 11,FF1,0,Union Station All-Station,953929,WK_merged_110500487,110497229
b_FF 21,FF2,0,Union Station Express,953928,WK_merged_110500487,110497228
